日期,关键词,当天出现总次数,,,,,,,,,,,,,,,,,
20250102,新闻数量,1,,,,,,,,,,,,,,,,,
20250103,新闻数量,2,,,求和项:当天出现总次数,关键词,,,,,,,,,,,,,
20250109,新闻数量,2,,,日期,抽水蓄能,储能,电动汽车,电化学储能,多能互补,节能,能效,氢能,碳达峰,碳中和,新型电力系统,虚拟电厂,(空白),总计
20250114,新闻数量,1,,,20250109,,,,,,,,1,,,,,,1
20250116,新闻数量,2,,,20250117,1,,,,,,,,,,,,,1
20250117,新闻数量,4,,,20250119,,,1,,,,,,,,,,,1
20250119,新闻数量,1,,,20250124,,,,,,,,1,,,,,,1
20250121,新闻数量,1,,,20250127,,1,,,1,,,,,,,,,2
20250123,新闻数量,2,,,20250207,,1,,,,,,,,,,,,1
20250124,新闻数量,2,,,20250218,,4,,,,,,4,,,,,,8
20250127,新闻数量,2,,,20250223,,1,,,,,,,,,,1,,2
20250206,新闻数量,1,,,20250224,,,,,,,,,,,1,,,1
20250207,新闻数量,3,,,20250226,,,,,,,,,,,,1,,1
20250209,新闻数量,2,,,20250401,,,,,1,1,,,,,,,,2
20250210,新闻数量,1,,,20250411,,1,,,,,,,,,,,,1
20250213,新闻数量,1,,,20250422,,,,,,,,,1,1,,,,2
20250214,新闻数量,1,,,20250506,,1,,,,,,,,,,1,,2
20250217,新闻数量,1,,,20250521,36,,,,,,,,,,1,,,37
20250218,新闻数量,1,,,20250523,,,,1,,,,1,,,,,,2
20250221,新闻数量,1,,,20250605,,,,,,,,,,,,1,,1
20250223,新闻数量,1,,,20250609,,1,,,,,,,,,,,,1
20250224,新闻数量,2,,,20250701,,1,,,,,,,,,,,,1
20250225,新闻数量,2,,,20250705,,1,,,,,,,,,,,,1
20250226,新闻数量,2,,,20250709,,1,,,,,,4,,,,,,5
20250227,新闻数量,1,,,20250711,,,,1,,,,,,,,,,1
20250302,新闻数量,2,,,20250712,,1,,,,,,,,,,,,1
20250311,新闻数量,1,,,20250807,,1,,,,,,,,,,1,,2
20250313,新闻数量,2,,,20250809,,,,,,,,1,,,,,,1
20250314,新闻数量,1,,,20250811,,1,,,,,,,,,,,,1
20250318,新闻数量,1,,,20250826,1,,,,,,,,,,,1,,2
20250320,新闻数量,2,,,20250829,,,,,,,,,1,,,,,1
20250324,新闻数量,1,,,20250904,,,,,,,,,,,9,,,9
20250326,新闻数量,2,,,20250908,,,,,1,,,,,,,,,1
20250328,新闻数量,1,,,20250910,,,,,,,,,,,1,,,1
20250329,新闻数量,2,,,20250916,,,,,,,,1,,,1,,,2
20250330,新闻数量,1,,,20250918,,1,,,,,,1,,,,,,2
20250331,新闻数量,1,,,20251006,,,,,,,,,,,1,,,1
20250401,新闻数量,3,,,20251009,,1,,,,,,,,,,,,1
20250402,新闻数量,2,,,20251013,,,,,,,,,,1,,,,1
20250403,新闻数量,1,,,20251014,,,,,,,,,,,,1,,1
20250407,新闻数量,1,,,20251020,,4,,,,,,1,,,,1,,6
20250411,新闻数量,3,,,20251027,,,,,,,,,,,1,,,1
20250414,新闻数量,2,,,20251030,,,,,,,,,1,1,,,,2
20250415,新闻数量,1,,,20251108,,16,,,,,1,,,,,,,17
20250418,新闻数量,1,,,20251111,,,,,,,,,,,,4,,4
20250422,新闻数量,2,,,20251114,,,,,,,,,,,1,,,1
20250424,新闻数量,2,,,20251119,,4,,,,,,,,,,,,4
20250427,新闻数量,3,,,20251204,1,,,,,,,,,,,1,,2
20250428,新闻数量,2,,,20251205,,1,,,,,,,,,,,,1
20250430,新闻数量,2,,,20251211,,,,,,,,,1,1,1,,,3
20250501,新闻数量,1,,,20251215,,,,,,,,1,,,,,,1
20250502,新闻数量,1,,,20251218,,1,,,,,,1,,,,,,2
20250506,新闻数量,2,,,20251225,1,,,,,,,,,,,,,1
20250508,新闻数量,1,,,(空白),,,,,,,,,,,,,,
20250510,新闻数量,1,,,总计,40,44,1,2,3,1,1,17,4,4,17,13,,147
20250512,新闻数量,1,,,,,,,,,,,,,,,,,
20250514,新闻数量,1,,,,,,,,,,,,,,,,,
20250516,新闻数量,1,,,,,,,,,,,,,,,,,
20250521,新闻数量,5,,,,,,,,,,,,,,,,,
20250523,新闻数量,1,,,,,,,,,,,,,,,,,
20250525,新闻数量,1,,,,,,,,,,,,,,,,,
20250526,新闻数量,1,,,,,,,,,,,,,,,,,
20250527,新闻数量,1,,,,,,,,,,,,,,,,,
20250528,新闻数量,1,,,,,,,,,,,,,,,,,
20250529,新闻数量,2,,,,,,,,,,,,,,,,,
20250530,新闻数量,1,,,,,,,,,,,,,,,,,
20250603,新闻数量,1,,,,,,,,,,,,,,,,,
20250604,新闻数量,1,,,,,,,,,,,,,,,,,
20250605,新闻数量,2,,,,,,,,,,,,,,,,,
20250608,新闻数量,1,,,,,,,,,,,,,,,,,
20250609,新闻数量,1,,,,,,,,,,,,,,,,,
20250611,新闻数量,2,,,,,,,,,,,,,,,,,
20250613,新闻数量,1,,,,,,,,,,,,,,,,,
20250617,新闻数量,1,,,,,,,,,,,,,,,,,
20250619,新闻数量,2,,,,,,,,,,,,,,,,,
20250620,新闻数量,3,,,,,,,,,,,,,,,,,
20250625,新闻数量,1,,,,,,,,,,,,,,,,,
20250701,新闻数量,1,,,,,,,,,,,,,,,,,
20250702,新闻数量,1,,,,,,,,,,,,,,,,,
20250703,新闻数量,1,,,,,,,,,,,,,,,,,
20250705,新闻数量,5,,,,,,,,,,,,,,,,,
20250709,新闻数量,3,,,,,,,,,,,,,,,,,
20250711,新闻数量,2,,,,,,,,,,,,,,,,,
20250712,新闻数量,1,,,,,,,,,,,,,,,,,
20250714,新闻数量,1,,,,,,,,,,,,,,,,,
20250715,新闻数量,1,,,,,,,,,,,,,,,,,
20250716,新闻数量,1,,,,,,,,,,,,,,,,,
20250717,新闻数量,1,,,,,,,,,,,,,,,,,
20250718,新闻数量,1,,,,,,,,,,,,,,,,,
20250723,新闻数量,1,,,,,,,,,,,,,,,,,
20250724,新闻数量,1,,,,,,,,,,,,,,,,,
20250725,新闻数量,1,,,,,,,,,,,,,,,,,
20250728,新闻数量,1,,,,,,,,,,,,,,,,,
20250729,新闻数量,1,,,,,,,,,,,,,,,,,
20250730,新闻数量,2,,,,,,,,,,,,,,,,,
20250731,新闻数量,2,,,,,,,,,,,,,,,,,
20250801,新闻数量,2,,,,,,,,,,,,,,,,,
20250805,新闻数量,1,,,,,,,,,,,,,,,,,
20250806,新闻数量,2,,,,,,,,,,,,,,,,,
20250807,新闻数量,1,,,,,,,,,,,,,,,,,
20250809,新闻数量,1,,,,,,,,,,,,,,,,,
20250811,新闻数量,1,,,,,,,,,,,,,,,,,
20250813,新闻数量,2,,,,,,,,,,,,,,,,,
20250815,新闻数量,3,,,,,,,,,,,,,,,,,
20250817,新闻数量,1,,,,,,,,,,,,,,,,,
20250819,新闻数量,1,,,,,,,,,,,,,,,,,
20250820,新闻数量,2,,,,,,,,,,,,,,,,,
20250822,新闻数量,2,,,,,,,,,,,,,,,,,
20250825,新闻数量,1,,,,,,,,,,,,,,,,,
20250826,新闻数量,4,,,,,,,,,,,,,,,,,
20250827,新闻数量,2,,,,,,,,,,,,,,,,,
20250829,新闻数量,3,,,,,,,,,,,,,,,,,
20250830,新闻数量,1,,,,,,,,,,,,,,,,,
20250903,新闻数量,1,,,,,,,,,,,,,,,,,
20250904,新闻数量,4,,,,,,,,,,,,,,,,,
20250907,新闻数量,1,,,,,,,,,,,,,,,,,
20250908,新闻数量,2,,,,,,,,,,,,,,,,,
20250910,新闻数量,2,,,,,,,,,,,,,,,,,
20250912,新闻数量,3,,,,,,,,,,,,,,,,,
20250915,新闻数量,1,,,,,,,,,,,,,,,,,
20250916,新闻数量,2,,,,,,,,,,,,,,,,,
20250918,新闻数量,3,,,,,,,,,,,,,,,,,
20250921,新闻数量,2,,,,,,,,,,,,,,,,,
20250922,新闻数量,2,,,,,,,,,,,,,,,,,
20250923,新闻数量,1,,,,,,,,,,,,,,,,,
20250924,新闻数量,2,,,,,,,,,,,,,,,,,
20250925,新闻数量,3,,,,,,,,,,,,,,,,,
20250927,新闻数量,2,,,,,,,,,,,,,,,,,
20250929,新闻数量,2,,,,,,,,,,,,,,,,,
20250930,新闻数量,1,,,,,,,,,,,,,,,,,
20251006,新闻数量,1,,,,,,,,,,,,,,,,,
20251009,新闻数量,2,,,,,,,,,,,,,,,,,
20251011,新闻数量,1,,,,,,,,,,,,,,,,,
20251013,新闻数量,1,,,,,,,,,,,,,,,,,
20251014,新闻数量,1,,,,,,,,,,,,,,,,,
20251016,新闻数量,1,,,,,,,,,,,,,,,,,
20251019,新闻数量,1,,,,,,,,,,,,,,,,,
20251020,新闻数量,4,,,,,,,,,,,,,,,,,
20251022,新闻数量,2,,,,,,,,,,,,,,,,,
20251025,新闻数量,1,,,,,,,,,,,,,,,,,
20251026,新闻数量,1,,,,,,,,,,,,,,,,,
20251027,新闻数量,2,,,,,,,,,,,,,,,,,
20251028,新闻数量,1,,,,,,,,,,,,,,,,,
