时间,标题,链接
2026-01-01 11:30:56,全国首个！云南绿电虚拟电厂正式参与区域电力现货市场,http://yn.people.com.cn/n2/2026/0101/c378439-41461580.html
2025-12-29 09:14:54,第六届中国能源行业前沿论坛在上海交大举办,http://sh.people.com.cn/n2/2025/1229/c134768-41457953.html
2025-12-29 08:59:39,60个上榜！2025年度国家绿色算力设施名单公布,http://finance.people.com.cn/n1/2025/1229/c1004-40634974.html
2025-12-29 00:11:28,贵安今年用电量已突破50亿千瓦时 较去年全年增长逾三成,http://gz.people.com.cn/n2/2025/1229/c371796-41457388.html
2025-12-23 14:28:48,第七届能源互联网装备技术发展大会在郑州召开,http://henan.people.com.cn/n2/2025/1223/c378397-41451538.html
2025-12-22 10:13:47,AI+新质生产力峰会暨2025昌平区数字科创大赛颁奖典礼举办,http://bj.people.com.cn/n2/2025/1222/c14540-41450277.html
2025-12-20 10:21:00,多措并举建好零碳园区,http://finance.people.com.cn/n1/2025/1220/c1004-40628529.html
2025-12-20 10:12:12,建成1亿千瓦“水电王国” 何以四川？,http://sc.people.com.cn/n2/2025/1220/c345167-41448818.html
2025-12-20 10:05:25,突破1亿千瓦 四川率先迈入水电装机“亿级”时代,http://sc.people.com.cn/n2/2025/1220/c345167-41448786.html
2025-12-16 10:49:40,浙江经验亮相联合国环境大会与首届非洲能源效率大会,http://zj.people.com.cn/n2/2025/1216/c370990-41444026.html
2025-12-13 10:11:15,非洲能源互联网与中非能源合作研讨会在非盟总部举行,http://world.people.com.cn/n1/2025/1213/c1002-40623673.html
2025-12-13 04:31:01,中非研讨会共商能源可持续发展与合作,http://world.people.com.cn/n1/2025/1213/c1002-40623482.html
2025-12-12 15:36:37,中非研讨会共商能源可持续发展与合作,http://world.people.com.cn/n1/2025/1212/c1002-40623319.html
2025-12-11 10:26:37,加“数”前行，智创未来！龙岩持续做强做优数字经济,http://fj.people.com.cn/n2/2025/1211/c181466-41439638.html
2025-12-11 04:42:21,内蒙古为高校毕业生送岗4.7万个,http://nm.people.com.cn/n2/2025/1211/c196667-41439200.html
2025-12-09 11:02:37,电网升级赋能高质量发展,http://jx.people.com.cn/n2/2025/1209/c186330-41436785.html
2025-12-09 08:38:34,云南新能源装机突破7000万千瓦,http://yn.people.com.cn/n2/2025/1209/c372456-41436313.html
2025-12-08 09:37:00,贵安电网“十四五”以来多项指标领跑全省,http://gz.people.com.cn/n2/2025/1208/c371796-41435319.html
2025-12-06 10:34:16,成都高新区“金熊猫”人才沙龙助推新能源新材料产业发展,http://sc.people.com.cn/n2/2025/1206/c345167-41434446.html
2025-12-05 11:26:41,海尔集团战略布局新能源领域 三年创出一家独角兽企业,http://finance.people.com.cn/n1/2025/1205/c1004-40618426.html
2025-12-05 16:00:21,天津高新区用科技赋能绿色发展,http://tj.people.com.cn/n2/2025/1205/c408648-41433657.html
2025-11-30 09:19:25,华北电力大学技术转移转化工作站正式开建,http://bj.people.com.cn/n2/2025/1130/c14540-41427382.html
2025-11-29 23:28:20,创造行业纪录！特变电工32项新产品通过国家级鉴定,http://hn.people.com.cn/n2/2025/1129/c336521-41427169.html
2025-11-26 16:21:17,以科技引领能源未来——2025中国电机工程学会年会在湘举行,http://hn.people.com.cn/n2/2025/1126/c356883-41423838.html
2025-11-25 16:22:51,小桔充电更名滴滴充电 启用新品牌标语,http://finance.people.com.cn/n1/2025/1125/c1004-40611334.html
2025-11-25 11:57:26,年交易电量超300亿度！核心项目落地四川天府新区,http://sc.people.com.cn/n2/2025/1125/c379469-41422249.html
2025-11-24 19:50:44,中共黑龙江省委关于制定国民经济和社会发展第十五个五年规划的建议,http://hlj.people.com.cn/n2/2025/1124/c220005-41421443.html
2025-11-24 08:51:07,着力提升人才培养的适配度,http://edu.people.com.cn/n1/2025/1124/c1006-40610138.html
2025-11-23 08:07:53,着力提升人才培养的适配度,http://theory.people.com.cn/n1/2025/1123/c40531-40609567.html
2025-11-22 07:16:25,2025年两院院士增选结果揭晓 山西三位专家当选,http://sx.people.com.cn/n2/2025/1122/c189130-41419380.html
2025-11-21 09:10:11,教育部“金秋启航”校园招聘暨京津冀地区2026届高校毕业生招聘会举行,http://edu.people.com.cn/n1/2025/1121/c1006-40608785.html
2025-11-14 15:03:57,第七届<em>能</em><em>源</em><em>互</em><em>联</em><em>网</em>国际创新峰会暨2025可再生能源动力技术创新及产业发展大会在成都举行,http://sc.people.com.cn/n2/2025/1114/c345167-41411756.html
2025-11-14 08:50:55,COP30“中国角”边会关注应对气候变化和促进绿色低碳转型国际合作,http://world.people.com.cn/n1/2025/1114/c1002-40603599.html
2025-11-09 15:46:05,为区域能源转型和中阿能源合作注入新动力,http://world.people.com.cn/n1/2025/1109/c1002-40599854.html
2025-11-07 15:41:23,聚力融合创新 共话能源未来,http://sc.people.com.cn/n2/2025/1107/c345167-41404789.html
2025-11-07 10:44:05,从能源转型到能源投资，共拓全球绿色合作新局,http://fj.people.com.cn/n2/2025/1107/c181466-41404469.html
2025-11-05 09:55:26,“线性菲涅尔”戈壁捕光记,http://xj.people.com.cn/n2/2025/1105/c186332-41401989.html
2025-11-04 16:22:26,许继电气斩获工程服务体系CMMI 5级认证,http://henan.people.com.cn/n2/2025/1104/c378397-41401238.html
2025-11-04 15:46:26,深港创新双向赋能 知识产权护航大湾区经济腾飞,http://finance.people.com.cn/n1/2025/1104/c1004-40596643.html
2025-11-03 09:26:01,食品级打印，“水煮30分钟不掉色”（创新故事）,http://hn.people.com.cn/n2/2025/1103/c208814-41399447.html
2025-11-03 08:05:11,杭州市钱塘区积极打造“零碳”绿色园区,http://zj.people.com.cn/n2/2025/1103/c186327-41399151.html
2025-11-03 07:55:04,食品级打印，“水煮30分钟不掉色”（创新故事）,http://kpzg.people.com.cn/n1/2025/1103/c404214-40595137.html
2025-11-03 06:02:34,食品级打印，“水煮30分钟不掉色”（创新故事）,http://finance.people.com.cn/n1/2025/1103/c1004-40595122.html
2025-11-01 09:28:43,电力互联与绿色投资主题会议在安哥拉举办,http://world.people.com.cn/n1/2025/1101/c1002-40594581.html
2025-10-31 07:01:48,2025年度国家绿色数据中心名单公示 江苏7家入选,http://js.people.com.cn/n2/2025/1031/c360301-41396756.html
2025-10-28 06:52:06,江苏国际产学研用合作十大成果发布,http://js.people.com.cn/n2/2025/1028/c360301-41392752.html
2025-10-22 16:17:44,云南玉溪：织密数字电网“通信高速路”,http://yn.people.com.cn/n2/2025/1022/c372455-41387870.html
2025-10-18 11:17:05,福建省住建厅：“一件事”改革撬动服务效能大提升,http://fj.people.com.cn/n2/2025/1018/c181466-41384028.html
2025-10-17 14:54:22,田原：以人才为桥，打通科技成果产业化“最后一公里”,http://gd.people.com.cn/n2/2025/1017/c123932-41383176.html
2025-10-16 16:13:22,2家企业营收超1000亿元 安徽民企百强榜单解读来了,http://ah.people.com.cn/n2/2025/1016/c227131-41382008.html
2025-10-14 08:41:20,加快建设全国统一电力市场（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,http://theory.people.com.cn/n1/2025/1014/c40531-40581672.html
2025-10-14 08:16:55,加快建设全国统一电力市场（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,http://hb.people.com.cn/n2/2025/1014/c194063-41379043.html
2025-10-14 08:13:23,加快建设全国统一电力市场（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,http://cpc.people.com.cn/n1/2025/1014/c64387-40581507.html
2025-10-14 06:08:22,加快建设全国统一电力市场（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,http://opinion.people.com.cn/n1/2025/1014/c1003-40581372.html
2025-10-10 07:55:05,一道关乎文明存续的必答题,http://yn.people.com.cn/n2/2025/1010/c372453-41375184.html
2025-09-30 08:19:35,江苏：打造具有世界聚合力的双向开放枢纽,http://society.people.com.cn/n1/2025/0930/c1008-40575037.html
2025-09-29 08:47:20,【聚焦太原能源低碳发展论坛】为山西深入推进能源转型破题指路,http://sx.people.com.cn/n2/2025/0929/c189130-41367939.html
2025-09-26 09:20:30,特色活动打造“科普盛宴”,http://finance.people.com.cn/n1/2025/0926/c1004-40572632.html
2025-09-23 09:49:05,办电便捷化、服务普惠化 国网厦门供电公司持续推进“EASIER用电”品牌建设,http://fj.people.com.cn/n2/2025/0923/c181466-41360650.html
2025-09-19 11:18:42,龙岩市开展跨界联动“劳模工匠+教授博士助企行”活动,http://fj.people.com.cn/n2/2025/0919/c181466-41356982.html
2025-09-12 16:46:22,粤港澳大湾区产业人才研究院领导出席2025全球<em>能</em><em>源</em><em>互</em><em>联</em><em>网</em>大会,http://gd.people.com.cn/n2/2025/0912/c123932-41349955.html
2025-09-12 14:35:22,气象赋能经济社会发展成果亮相服贸会,http://finance.people.com.cn/n1/2025/0912/c1004-40562756.html
2025-09-11 18:07:32,四川天府新区：减排60%、核能产业规模14亿元 走出先进能源高质量发展新路径,http://sc.people.com.cn/n2/2025/0911/c345167-41348841.html
2025-09-10 08:48:23,韩正出席2025全球<em>能</em><em>源</em><em>互</em><em>联</em><em>网</em>大会并致辞,http://cpc.people.com.cn/n1/2025/0910/c64094-40560707.html
2025-09-10 05:44:11,韩正出席2025全球<em>能</em><em>源</em><em>互</em><em>联</em><em>网</em>大会并致辞,http://politics.people.com.cn/n1/2025/0910/c1001-40560415.html
2025-09-09 21:09:14,韩正出席2025全球<em>能</em><em>源</em><em>互</em><em>联</em><em>网</em>大会并致辞,http://v.people.cn/n1/2025/0909/c141029-40560375.html
2025-09-09 18:07:02,儋州全力推动新能源全产业链高质量发展 致力打造新的千亿级产业集群,http://hi.people.com.cn/n2/2025/0909/c231190-41346466.html
2025-09-09 13:45:53,韩正出席2025全球<em>能</em><em>源</em><em>互</em><em>联</em><em>网</em>大会并致辞,http://politics.people.com.cn/n1/2025/0909/c1001-40560180.html
2025-09-02 08:42:35,雄安这个园区，如何实现零碳？（美丽中国·关注零碳园区）,http://he.people.com.cn/n2/2025/0902/c192235-41339741.html
2025-09-02 07:53:10,雄安这个园区，如何实现零碳？（美丽中国·关注零碳园区）,http://kpzg.people.com.cn/n1/2025/0902/c404214-40554903.html
2025-09-02 06:09:36,雄安这个园区，如何实现零碳？（美丽中国·关注零碳园区）,http://env.people.com.cn/n1/2025/0902/c1010-40554843.html
2025-08-19 10:16:44,北京昌平：加快建设科创引领的“未来之城”,http://bj.people.com.cn/n2/2025/0819/c14540-41326442.html
2025-08-18 08:55:19,践行绿水青山就是金山银山理念 以能源新质生产力推进中国式现代化,http://cpc.people.com.cn/n1/2025/0818/c64387-40544573.html
2025-08-18 08:21:03,践行绿水青山就是金山银山理念 以能源新质生产力推进中国式现代化,http://zj.people.com.cn/n2/2025/0818/c186327-41324943.html
2025-08-18 05:48:15,践行绿水青山就是金山银山理念 以能源新质生产力推进中国式现代化,http://env.people.com.cn/n1/2025/0818/c1010-40544270.html
2025-08-16 09:28:44,专访｜中国生态文明建设带来范式转变——访美国经济趋势基金会主席杰里米·里夫金,http://world.people.com.cn/n1/2025/0816/c1002-40543842.html
2025-08-16 08:39:27,北京发布新时代生态文明建设成果：PM2.5浓度十年降幅达66%,http://bj.people.com.cn/n2/2025/0816/c14540-41324051.html
2025-08-14 10:26:11,安徽砀山县供电公司：旗帜领航践使命 担当作为勇争先,http://ah.people.com.cn/n2/2025/0814/c227767-41322093.html
2025-08-13 08:21:43,辽中远景储能电站项目开工 绘就绿色发展新蓝图,http://ln.people.com.cn/n2/2025/0813/c400024-41320515.html
2025-08-11 08:52:12,自治区启动国家绿色数据中心推荐工作,http://nm.people.com.cn/n2/2025/0811/c196667-41318358.html
2025-08-07 17:13:22,湖北率先实现“充换岸储”资源聚合秒级调频应用,http://hb.people.com.cn/n2/2025/0807/c406123-41315863.html
2025-08-05 18:05:38,西宁市发布高原科创场景机会清单、场景能力清单和场景案例清单,http://qh.people.com.cn/n2/2025/0805/c378418-41313600.html
2025-07-31 10:25:39,国网桐城市供电公司：深耕作风建设 注入清廉动能,http://ah.people.com.cn/n2/2025/0731/c374164-41308587.html
