日期,数值
20250101,124
20250102,128
20250103,135
20250104,0
20250105,117
20250106,125
20250107,141
20250108,129
20250109,124
20250110,131
20250111,127
20250112,120
20250113,128
20250114,80
20250115,136
20250116,123
20250117,133
20250118,120
20250119,126
20250120,117
20250121,122
20250122,0
20250123,118
20250124,116
20250125,63
20250126,117
20250127,0
20250128,0
20250129,116
20250130,0
20250131,0
20250201,0
20250202,0
20250203,0
20250204,0
20250205,127
20250206,120
20250207,133
20250208,127
20250209,121
20250210,128
20250211,137
20250212,126
20250213,148
20250214,131
20250215,0
20250216,123
20250217,126
20250218,127
20250219,121
20250220,141
20250221,134
20250222,65
20250223,121
20250224,126
20250225,137
20250226,138
20250227,142
20250228,130
20250301,117
20250302,123
20250303,139
20250304,130
20250305,139
20250306,130
20250307,139
20250308,127
20250309,67
20250310,133
20250311,132
20250312,139
20250313,139
20250314,131
20250315,119
20250316,127
20250317,139
20250318,132
20250319,129
20250320,136
20250321,136
20250322,122
20250323,130
20250324,143
20250325,141
20250326,126
20250327,134
20250328,136
20250329,134
20250330,116
20250331,126
20250401,66
20250402,130
20250403,139
20250404,120
20250405,0
20250406,124
20250407,131
20250408,133
20250409,134
20250410,134
20250411,61
20250412,65
20250413,130
20250414,124
20250415,130
20250416,137
20250417,130
20250418,136
20250419,0
20250420,0
20250421,127
20250422,126
20250423,139
20250424,136
20250425,122
20250426,116
20250427,141
20250428,132
20250429,132
20250430,132
20250501,63
20250502,0
20250503,123
20250504,0
20250505,66
20250506,120
20250507,152
20250508,121
20250509,124
20250510,66
20250511,0
20250512,127
20250513,123
20250514,148
20250515,145
20250516,129
20250517,122
20250518,121
20250519,131
20250520,130
20250521,125
20250522,128
20250523,132
20250524,124
20250525,122
20250526,128
20250527,121
20250528,130
20250529,127
20250530,128
20250531,116
20250601,0
20250602,0
20250603,130
20250604,133
20250605,131
20250606,127
20250607,124
20250608,126
20250609,132
20250610,125
20250611,134
20250612,136
20250613,126
20250614,124
20250615,0
20250616,137
20250617,129
20250618,132
20250619,144
20250620,146
20250621,122
20250622,119
20250623,144
20250624,137
20250625,178
20250626,197
20250627,194
20250628,204
20250629,210
20250630,187
20250701,170
20250702,189
20250703,163
20250704,158
20250705,139
20250706,133
20250707,138
20250708,199
20250709,136
20250710,116
20250711,126
20250712,118
20250713,125
20250714,126
20250715,130
20250716,123
20250717,124
20250718,136
20250719,126
20250720,130
20250721,134
20250722,137
20250723,131
20250724,141
20250725,131
20250726,127
20250727,0
20250728,124
20250729,0
20250730,0
20250731,116
20250801,128
20250802,135
20250803,128
20250804,130
20250805,127
20250806,59
20250807,123
20250808,128
20250809,0
20250810,0
20250811,128
20250812,122
20250813,132
20250814,127
20250815,122
20250816,122
20250817,122
20250818,122
20250819,119
20250820,126
20250821,0
20250822,121
20250823,120
20250824,118
20250825,59
20250826,61
20250827,124
20250828,131
20250829,0
20250830,0
20250831,126
20250901,123
20250902,124
20250903,135
20250904,124
20250905,0
20250906,0
20250907,123
20250908,135
20250909,155
20250910,162
20250911,126
20250912,125
20250913,69
20250914,118
20250915,126
20250916,124
20250917,59
20250918,126
20250919,122
20250920,122
20250921,124
20250922,130
20250923,123
20250924,133
20250925,134
20250926,124
20250927,120
20250928,124
20250929,125
20250930,121
20251001,61
20251002,0
20251003,0
20251004,118
20251005,118
20251006,0
20251007,0
20251008,0
20251009,130
20251010,125
20251011,120
20251012,120
20251013,131
20251014,143
20251015,0
20251016,127
20251017,129
20251018,59
20251019,124
20251020,122
20251021,120
20251022,125
20251023,124
20251024,59
20251025,66
20251026,124
20251027,129
20251028,120
20251029,127
20251030,133
20251031,120
20251101,0
20251102,0
20251103,131
20251104,61
20251105,134
20251106,128
20251107,127
20251108,61
20251109,121
20251110,130
20251111,127
20251112,70
20251113,129
20251114,121
20251115,142
20251116,61
20251117,0
20251118,63
20251119,120
20251120,129
20251121,171
20251122,141
20251123,127
20251124,126
20251125,127
20251126,126
20251127,128
20251128,118
20251129,120
20251130,129
20251201,122
20251202,0
20251203,64
20251204,127
20251205,129
20251206,143
20251207,0
20251208,124
20251209,132
20251210,123
20251211,61
20251212,124
20251213,120
20251214,122
20251215,124
20251216,121
20251217,124
20251218,63
20251219,120
20251220,63
20251221,124
20251222,122
20251223,61
20251224,129
20251225,132
20251226,67
20251227,59
20251228,0
20251229,124
20251230,63
20251231,122
