"Time","新型电力系统"
"2024-12-29",0
"2025-01-05",0
"2025-01-12",0
"2025-01-19",0
"2025-01-26",0
"2025-02-02",0
"2025-02-09",0
"2025-02-16",0
"2025-02-23",0
"2025-03-02",0
"2025-03-09",0
"2025-03-16",0
"2025-03-23",0
"2025-03-30",0
"2025-04-06",0
"2025-04-13",0
"2025-04-20",0
"2025-04-27",20
"2025-05-04",0
"2025-05-11",0
"2025-05-18",0
"2025-05-25",0
"2025-06-01",0
"2025-06-08",0
"2025-06-15",0
"2025-06-22",0
"2025-06-29",0
"2025-07-06",0
"2025-07-13",0
"2025-07-20",0
"2025-07-27",30
"2025-08-03",0
"2025-08-10",66
"2025-08-17",52
"2025-08-24",36
"2025-08-31",34
"2025-09-07",25
"2025-09-14",25
"2025-09-21",43
"2025-09-28",45
"2025-10-05",34
"2025-10-12",41
"2025-10-19",59
"2025-10-26",66
"2025-11-02",43
"2025-11-09",70
"2025-11-16",86
"2025-11-23",55
"2025-11-30",43
"2025-12-07",82
"2025-12-14",89
"2025-12-21",100
"2025-12-28",84
