month,key_1_dnhb,key_2_rxdd,key_3_zhny,key_4_qn,key_5_ddqc,key_6_fbsny,key_7_ww,key_8_xqcgljxy,key_9_cn,key_10_cchp,key_11_rldc,key_12_zhgl,key_13_nyhlw,key_14_nydsj,key_15_dljy,key_16_nx,key_17_jn,key_18_xndc,key_19_zhnyxt,key_20_qkl,key_21_nllyq,key_22_fbsjy,key_23_dnl,key_24_dnl,key_25_dnl,
2020年12月,2,0,29,1,8,8,2,0,7,0,0,0,0,4,0,6,1,1,4,6,0,0,0,0,2,
2020年11月,3,0,48,2,8,4,0,0,19,0,0,1,0,4,0,15,11,3,16,1,2,0,0,1,11,
2020年10月,6,0,44,1,7,6,1,0,46,0,0,0,0,4,0,4,7,1,4,12,1,1,0,0,1,
2020年09月,0,0,20,2,21,2,2,0,162,0,0,0,2,5,2,9,9,13,2,14,0,0,0,0,0,
2020年08月,3,0,13,2,23,11,0,0,85,0,0,0,1,1,0,10,11,2,1,5,0,0,1,3,7,
2020年07月,3,0,58,7,6,27,6,0,29,0,1,0,0,7,0,10,18,7,1,11,2,0,2,0,0,
2020年06月,0,0,15,1,8,7,1,0,10,0,0,0,0,6,0,4,4,1,2,2,0,0,0,0,0,
2020年05月,11,1,36,6,29,17,0,0,51,0,2,1,0,3,2,41,91,1,17,12,1,0,1,1,6,
2020年04月,0,0,26,5,13,47,0,0,62,0,0,0,0,4,7,13,22,2,5,68,0,1,2,2,5,
2020年03月,9,0,18,6,5,4,0,0,11,0,1,1,0,0,3,4,6,1,3,1,0,0,0,1,1,
2020年02月,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
2020年01月,1,0,2,0,3,0,0,0,3,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,
