month,key_1_dnhb,key_2_rxdd,key_3_zhny,key_4_qn,key_5_ddqc,key_6_fbsny,key_7_ww,key_8_xqcgljxy,key_9_cn,key_10_cchp,key_11_rldc,key_12_zhgl,key_13_nyhlw,key_14_nydsj,key_15_dljy,key_16_nx,key_17_jn,key_18_xndc,key_19_zhnyxt,key_20_qkl,key_21_nllyq,key_22_fbsjy,key_23_dnl,key_24_tdf,key_25_tzh,
2020-09,0,0,17,2,4,0,2,0,6,0,0,0,0,3,0,4,7,0,0,4,0,0,0,0,0,
2020-08,2,0,6,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-07,0,0,0,0,24,1,0,0,1,0,0,0,0,1,0,0,22,0,0,6,0,0,0,0,0,
2020-06,0,0,12,1,11,0,0,0,8,0,0,1,0,3,0,6,12,1,0,12,0,0,0,0,0,
2020-05,0,0,5,0,0,0,0,0,5,0,0,0,1,0,2,3,3,0,3,3,0,0,0,0,0,
2020-04,0,0,4,0,3,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,
2020-03,0,0,0,2,2,0,0,0,5,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,
2020-02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-01,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12,3,0,13,3,5,1,1,0,10,0,2,0,0,0,1,13,40,0,1,1,0,0,0,0,8,
2020-11,0,0,0,0,7,0,0,0,4,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,1,
2020-10,0,0,1,8,8,0,0,0,8,0,0,0,0,4,0,0,9,0,0,2,0,0,0,2,6,
