month,key_1_dnhb,key_2_rxdd,key_3_zhny,key_4_qn,key_5_ddqc,key_6_fbsny,key_7_ww,key_8_xqcgljxy,key_9_cn,key_10_cchp,key_11_rldc,key_12_zhgl,key_13_nyhlw,key_14_nydsj,key_15_dljy,key_16_nx,key_17_jn,key_18_xndc,key_19_zhnyxt,key_20_qkl,key_21_nllyq,key_22_fbsjy,key_23_dnl,key_24_tdf,key_25_tzh,
2020-11,3,0,7,9,3,0,0,0,2,0,0,2,0,9,0,2,1,0,0,39,0,0,0,5,16,
2020-12,0,0,15,4,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,15,0,0,0,1,1,
2020-05,2,0,0,0,3,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
2020-07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,
2020-06,0,0,7,0,2,0,0,0,3,0,0,0,0,4,0,4,5,0,0,4,2,0,0,0,0,
2020-10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
2020-04,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,
2020-08,2,0,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,
2020-09,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,
2020-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,
